authorId,authorName
A1,A. Alvarez Marquina
A2,A. B. Dieker
A3,A. De Lucia
A4,A. El Abbadi
A5,A. Erell
A6,A. Gill Waters
A7,A. Kapitanovsky
A8,A. Keshavarz-Haddadt
A9,A. L. Sandoval Orozco
A10,A. Molfetas
A11,A. R. Calderbank
A12,A. Rauf Baig
A13,A. S. Atilla Hasekioglu
A14,A. Sangicivanni-Vincentelli
A15,A. Schmidt
A16,A. Seza Doğruöz
A17,A. Thean
A18,A. Van Deursen
A19,A. de Rezende Rocha
A20,A. van den Hengel
A21,A.A. de Oliveira
A22,A.D. Murugan
A23,A.J.C. van Gemund
A24,A.R. Calderbank
A25,Aad J. van der Steen
A26,Aaron Mavrinac
A27,Aasa Feragen
A28,Abbas Jamalipour
A29,Abbas Yongaçoglu
A30,Abdelaziz Kallel
A31,Abdelhakim Hafid
A32,Abdelmajid Khelil
A33,Abdenour Hadid
A34,Abdeslem Boukhtouta
A35,Abdesselam Bouzerdoum
A36,Abdul Jalil
A37,Abdul Sattar
A38,Abdulkadir Sengur
A39,Abeer Hamdy
A40,Abhinandan Das
A41,Abhinav Pathak
A42,Abhinav Sethy
A43,Abhishek Chandra
A44,Abigail Sellen
A45,Abmar Barros
A46,Aboul Ella Hassanien
A47,Abraham O. Fapojuwo
A48,Abraham Silberschatz
A49,Achilleas Anastasopoulos
A50,Achim Fahrner
A51,Achim Streit
A52,Ada Diaconescu
A53,Adam Belloum
A54,Adam Brady
A55,Adam C. Ferguson
A56,Adam Fourney
A57,Adam J. Griff
A58,Adam J. Oliner
A59,Adam Janin
A60,Adam Lopez
A61,Adam M. Dutko
A62,Adam Panagos
A63,Adam Shwartz
A64,Adam W. Hoover
A65,Adarsh Seetharam
A66,Adel H. Fakih
A67,Adel Javanmard
A68,Adel Taweel
A69,Aditya A. Paranjape
A70,Aditya Ramamoorthy
A71,Adnan Yazici
A72,Adolfo Varona
A73,Adolph Seema
A74,Adrian F. Clark
A75,Adrian Hilton
A76,Adrian Ilie
A77,Adriana Iamnitchi
A78,Adrien Gaidon
A79,Adrienne L. Fairhall
A80,Adri´n Cristal
A81,Adrià Armejach
A82,Adrià Gascón
A83,Adrián Cristal
A84,Ae-Soon Park
A85,Afolami Akinsanmi
A86,Afonso Sales
A87,Afshin Dehghan
A88,Aggelos Kiayias
A89,Agnes Madalinski
A90,Agnès Just
A91,Agostino Gibaldi
A92,Agustin Zaballos
A93,Ahmad Ali
A94,Ahmad Darabiha
A95,Ahmad Poursaberi
A96,Ahmad R. Sharafat
A97,Ahmed Bouridane
A98,Ahmed E. A. A. Abdulla
A99,Ahmed E. Hassan
A100,Ahmed E. Kamal
A101,Ahmed Ghanmi
A102,Ahmed Hussein
A103,Ahmed K. Elmagarmid
A104,Ahmed Louri
A105,Ahmed Mohammad Bashir
A106,Ahmet Burak Can
A107,Ahmet M. Kondoz
A108,Ahsan Habib
A109,Ahuva Mu'alem
A110,Ai Poh Loh
A111,Aiko Pras
A112,Aini Hussain
A113,Aishy Amer
A114,Aitor Gonzalez-Agirre
A115,Ajay Chitturi
A116,Ajay D. Kshemkalyani
A117,Ajay Dholakia
A118,Ajay Gopinathan
A119,Ajay Mahimkar
A120,Ajith Abraham
A121,Ajith M. Kamath
A122,Akihiro Nakao
A123,Akihiro Shimoda
A124,Akinbola Adetunji
A125,Akinori Yonezawa
A126,Akira Nukada
A127,Akira Yanagawa
A128,Akiyoshi Shioura
A129,Akshar Bharati
A130,Akshat Verma
A131,Al Geist
A132,Alagan Anpalagan
A133,Alain Girault
A134,Alain Martel
A135,Alain Rakotomamonjy
A136,Alan Burns
A137,Alan C. Kay
A138,Alan M. Bond
A139,Albano Bernadas
A140,Albert Ali Salah
A141,Albert Assaf
A142,Albert Cabellos-Aparicio
A143,Albert Cohen
A144,Albert F. Harris
A145,Albert Kai-Sun Wong
A146,Albert M. Lai
A147,Albert Y. Zomaya
A148,Alberto Abad
A149,Alberto Conte
A150,Alberto L. Sangiovanni-Vincentelli
A151,Alberto Lavelli
A152,Alberto Marchetti-Spaccamela
A153,Alberto Montresor
A154,Alberto Piacenza
A155,Alberto Tarable
A156,Alberto Zanella
A157,Aldri Santos
A158,Aleix M. Martinez
A159,Alejandra Cano-Tinoco
A160,Aleksandar Djurendic
A161,Aleksandar Jovanovic
A162,Aleksandar Kavcic
A163,Aleksandar Kuzmanovic
A164,Aleksander Byrski
A165,Aleksander Slominski
A166,Aleksandra Korolova
A167,Ales Krenek
A168,Ales Leonardis
A169,Ales Ude
A170,Alessandra Carosi
A171,Alessandro D'Alconzo
A172,Alessandro Garcia
A173,Alessandro Martinelli
A174,Alessandro Mecocci
A175,Alessandro Moschitti
A176,Alessandro Raganato
A177,Alessandro Vinciarelli
A178,Alessia Saggese
A179,Alessio Dore
A180,Alex Alves Freitas
A181,Alex B. Gershman
A182,Alex Berryman
A183,Alex C. Kot
A184,Alex Doboli
A185,Alex Fink
A186,Alex Garthwaite
A187,Alex Gurtner
A188,Alex J. Grant
A189,Alex Kondratyev
A190,Alex Pentland
A191,Alex Ramirez
A192,Alex Sandy Pentland
A193,Alex Vallejo
A194,Alexa M. Morcom
A195,Alexander Alexandrov
A196,Alexander D. Rast
A197,Alexander Damaschun
A198,Alexander Fedorov
A199,Alexander G. Dean
A200,Alexander G. Gray
A201,Alexander G. Hauptmann
A202,Alexander Gruner
A203,Alexander J. Smola
A204,Alexander M. Morison
A205,Alexander M. Rush
A206,Alexander Rasin
A207,Alexander Reinefeld
